timestamp,type,unit,value
1,gen,G1,40.0
1,gen,G2,80.0
1,gen,G3,60.0
1,gen,G4,50.0
1,gen,G5,15.384006479999982
1,gen,G6,0.0
1,batt_ch,B1,50.0
1,batt_dis,B1,0.0
1,soc,B1,50.0
1,clearing_price,market,40.0
2,gen,G1,40.0
2,gen,G2,38.58031242999999
2,gen,G3,60.0
2,gen,G4,0.0
2,gen,G5,0.0
2,gen,G6,0.0
2,batt_ch,B1,0.0
2,batt_dis,B1,40.0
2,soc,B1,10.0
2,clearing_price,market,30.0
3,gen,G1,40.0
3,gen,G2,80.0
3,gen,G3,60.0
3,gen,G4,27.56094393999998
3,gen,G5,0.0
3,gen,G6,0.0
3,batt_ch,B1,40.0
3,batt_dis,B1,0.0
3,soc,B1,50.0
3,clearing_price,market,35.0
4,gen,G1,40.0
4,gen,G2,80.0
4,gen,G3,60.0
4,gen,G4,31.87888262000002
4,gen,G5,0.0
4,gen,G6,0.0
4,batt_ch,B1,50.0
4,batt_dis,B1,0.0
4,soc,B1,100.0
4,clearing_price,market,35.0
5,gen,G1,40.0
5,gen,G2,21.068729770000004
5,gen,G3,60.0
5,gen,G4,0.0
5,gen,G5,0.0
5,gen,G6,0.0
5,batt_ch,B1,0.0
5,batt_dis,B1,40.0
5,soc,B1,60.0
5,clearing_price,market,30.0
6,gen,G1,40.0
6,gen,G2,23.178201549999983
6,gen,G3,60.0
6,gen,G4,0.0
6,gen,G5,0.0
6,gen,G6,0.0
6,batt_ch,B1,0.0
6,batt_dis,B1,40.0
6,soc,B1,20.0
6,clearing_price,market,30.0
7,gen,G1,40.0
7,gen,G2,80.0
7,gen,G3,60.0
7,gen,G4,40.09855928000002
7,gen,G5,0.0
7,gen,G6,0.0
7,batt_ch,B1,50.0
7,batt_dis,B1,0.0
7,soc,B1,70.0
7,clearing_price,market,35.0
8,gen,G1,40.0
8,gen,G2,34.48315065999998
8,gen,G3,60.0
8,gen,G4,0.0
8,gen,G5,0.0
8,gen,G6,0.0
8,batt_ch,B1,0.0
8,batt_dis,B1,40.0
8,soc,B1,30.0
8,clearing_price,market,30.0
9,gen,G1,40.0
9,gen,G2,80.0
9,gen,G3,60.0
9,gen,G4,50.0
9,gen,G5,1.864771530000013
9,gen,G6,0.0
9,batt_ch,B1,50.0
9,batt_dis,B1,0.0
9,soc,B1,80.0
9,clearing_price,market,40.0
10,gen,G1,40.0
10,gen,G2,46.238203450000015
10,gen,G3,60.0
