Time,P_ch,P_dis,SOC,P_thermal,P_demand
1,50.0,0.0,50.0,245.38400647999998,195.38400647999998
2,0.0,40.0,10.0,138.58031243,178.58031243
3,40.0,0.0,50.0,207.56094394,167.56094394
4,50.0,0.0,100.0,211.87888262,161.87888262
5,0.0,40.0,60.0,121.06872977,161.06872977
6,0.0,40.0,20.0,123.17820154999998,163.17820154999998
7,50.0,0.0,70.0,220.09855928000002,170.09855928000002
8,0.0,40.0,30.0,134.48315065999998,174.48315065999998
9,50.0,0.0,80.0,231.86477153,181.86477153
10,0.0,40.0,40.0,146.23820345000001,186.23820345000001
11,50.0,0.0,90.0,236.95107353,186.95107353
12,0.0,40.0,50.0,146.55106145,186.55106145
13,50.0,0.0,100.0,237.57235913,187.57235913
14,0.0,40.0,60.0,149.89888034,189.89888034
15,50.0,0.0,110.0,243.0381674,193.0381674
16,0.0,40.0,70.0,159.26773723999997,199.26773723999997
17,0.0,40.0,30.0,167.47949144000003,207.47949144000003
18,50.0,0.0,80.0,260.73564083,210.73564083
19,50.0,0.0,130.0,260.11968614,210.11968614
20,0.0,40.0,90.0,175.72130567000002,215.72130567000002
21,50.0,0.0,140.0,265.56544568000004,215.56544568
22,50.0,0.0,190.0,262.29477581000003,212.29477581
23,0.0,40.0,150.0,167.65979195000003,207.65979195000003
24,50.0,0.0,200.0,246.60678986,196.60678986
