Time,P_ch,P_dis,SOC,P_thermal,P_demand,Clearing_price,price_charge,price_discharge
1,0.0,0.0,0.0,195.0,195.0,60.0,60.0,60.0
2,0.0,0.0,0.0,179.0,179.0,60.0,60.0,60.0
3,0.0,0.0,0.0,168.0,168.0,50.0,50.0,50.0
4,0.0,0.0,0.0,162.0,162.0,50.0,50.0,50.0
5,0.0,0.0,0.0,161.0,161.0,50.0,50.0,50.0
6,0.0,0.0,0.0,163.0,163.0,50.0,50.0,50.0
7,0.0,0.0,0.0,170.0,170.0,50.0,50.0,50.0
8,0.0,0.0,0.0,174.0,174.0,60.0,60.0,60.0
9,0.0,0.0,0.0,182.0,182.0,60.0,60.0,60.0
10,0.0,0.0,0.0,186.0,186.0,60.0,60.0,60.0
11,0.0,0.0,0.0,187.0,187.0,60.0,60.0,60.0
12,0.0,0.0,0.0,187.0,187.0,60.0,60.0,60.0
13,0.0,0.0,0.0,188.0,188.0,60.0,60.0,60.0
14,0.0,0.0,0.0,190.0,190.0,60.0,60.0,60.0
15,0.0,0.0,0.0,193.0,193.0,60.0,60.0,60.0
16,0.0,0.0,0.0,199.0,199.0,60.0,60.0,60.0
17,0.0,0.0,0.0,207.0,207.0,60.0,60.0,60.0
18,0.0,0.0,0.0,211.0,211.0,60.0,60.0,60.0
19,0.0,0.0,0.0,210.0,210.0,60.0,60.0,60.0
20,0.0,0.0,0.0,216.0,216.0,60.0,60.0,60.0
21,0.0,0.0,0.0,216.0,216.0,60.0,60.0,60.0
22,0.0,0.0,0.0,212.0,212.0,60.0,60.0,60.0
23,0.0,0.0,0.0,208.0,208.0,60.0,60.0,60.0
24,0.0,0.0,0.0,197.0,197.0,60.0,60.0,60.0
